avg_time_diff,node_count
3.159235668789809,1
1.0869565217391304,3
2.137440758293839,1
1.1415525114155252,2
2.347417840375587,2
1.7921146953405018,3
1.3368983957219251,2
1.0775862068965518,1
1.3746556473829201,1
1.36986301369863,1
1.050420168067227,1
1.0660980810234542,1
1.8656716417910448,1
2.7606837606837606,1
1.272264631043257,2
1.6798561151079137,1
1.818867924528302,1
1.1185682326621924,2
1.0570824524312896,1
1.6915254237288135,1
1.1990407673860912,1
3.613138686131387,1
1.8211678832116789,1
7.0,1836
1.0060362173038229,1
1.0964912280701755,1
1.0395010395010396,1
1.4124293785310735,1
4.93,1
1.1235955056179776,1
1.3139841688654355,1
1.3028720626631853,1
2.183406113537118,2
1.2376237623762376,1
1.1904761904761905,1
1.6025641025641026,2
1.9090909090909092,35
1.1961722488038278,1
1.1737089201877935,1
1.0183299389002036,1
1.3097112860892388,2
6.112676056338028,1
1.0893246187363834,1
1.3218884120171674,1
1.358695652173913,2
1.3157894736842106,5
1.6864111498257839,1
1.079913606911447,1
1.2743362831858407,1
1.9157088122605364,2
1.2987012987012987,1
1.106430155210643,1
1.327127659574468,1
1.580327868852459,1
1.182897862232779,1
2.1371681415929205,1
1.0266940451745379,1
1.8248175182481752,3
1.5709779179810726,1
1.0141987829614605,1
2.050632911392405,1
5.365591397849462,2
1.6136363636363635,1
1.0940919037199124,1
1.2820512820512822,1
1.1013215859030836,1
1.430635838150289,1
1.1044444444444443,1
1.775,1
1.3262599469496021,1
1.6666666666666667,809
4.8311688311688314,1
1.1086474501108647,2
1.4457831325301205,1
1.152073732718894,1
45.36363636363637,6
1.3183023872679045,1
1.1682242990654206,3
2.525252525252525,3
1.17096018735363,3
1.0080645161290323,1
1.2195121951219512,1
1.3513513513513513,1
1.1389521640091116,1
1.1951807228915663,1
2.450980392156863,1
1.0822510822510822,1
2.0408163265306123,1
1.1111111111111112,45
1.6241830065359477,1
2.272727272727273,24
1.9163346613545817,1
1.6722408026755853,3
1.81437125748503,1
11.65625,1
1.2141119221411192,1
1.4610778443113772,1
1.160092807424594,3
1.0638297872340425,1
1.4894259818731117,1
1.1547344110854503,2
1.6858108108108107,1
1.0683760683760684,1
1.180094786729858,1
4.632183908045977,1
1.3899721448467968,1
1.471976401179941,2
1.667785234899329,1
1.492537313432836,1
1.466275659824047,2
1.4984126984126984,1
1.0330578512396693,2
1.161137440758294,1
1.2755102040816326,1
1.2135922330097086,1
1.7473684210526317,1
2.7119565217391304,1
7.278688524590164,2
2.7597765363128492,1
1.9080459770114941,1
4.237288135593221,3
1.529051987767584,1
1.1160714285714286,1
2.8588235294117648,1
1.1655011655011656,1
1.4056338028169013,1
1.5873015873015872,2
3.8658536585365852,1
1.1037527593818985,1
1.6045016077170418,1
1.2285012285012284,1
1.7624113475177305,1
4.275862068965517,2
2.9938650306748467,1
1.6148867313915858,1
1.639344262295082,2
2.0120967741935485,2
1.9607843137254901,7
2.083682008368201,1
1.1783132530120481,1
1.32010582010582,1
1.8421052631578947,4
1.6181229773462784,1
5.090909090909091,24
3.3422818791946307,1
1.2531328320802004,2
2.3333333333333335,654
4.135922330097087,1
2.5797872340425534,1
1.8198529411764706,1
1.9516129032258065,1
1.4705882352941178,6
2.6972972972972973,1
3.7142857142857144,61
2.3055555555555554,1
4.090909090909091,26
1.6688963210702341,1
5.440476190476191,1
1.4380403458213256,1
3.5483870967741935,2
1.7936507936507937,1
3.02,1
1.7118055555555556,1
1.7030716723549488,2
3.4178082191780823,1
3.572463768115942,1
1.4880952380952381,1
3.1225806451612903,1
1.3596730245231607,1
1.3054830287206267,1
45.18181818181818,7
1.557632398753894,2
1.2845528455284554,1
1.0224948875255624,1
1.4836795252225519,1
15.15,2
1.36,1
2.9416058394160585,1
9.714285714285714,46
1.9083969465648856,2
1.3812154696132597,2
2.124463519313305,1
8.65,3
2.591715976331361,1
3.6159420289855073,1
2.446078431372549,1
7.782608695652174,4
4.258620689655173,1
2.657754010695187,1
1.937007874015748,1
5.133333333333334,16
1.3822714681440442,1
1.4548104956268222,1
5.086956521739131,4
7.294117647058823,9
1.0615711252653928,1
1.7605633802816902,1
3.852713178294574,3
1.2345679012345678,1
4.19327731092437,1
1.9639639639639639,1
2.4583333333333335,1
2.032520325203252,4
2.4427083333333335,1
1.4954954954954955,1
1.8901515151515151,2
10.847826086956522,3
1.5625,4
1.21760391198044,1
2.458128078817734,2
1.3550135501355014,2
2.184684684684685,1
2.8275862068965516,3
1.1135857461024499,2
3.992,2
1.7182130584192439,2
1.1042128603104213,1
13.875,16
2.871345029239766,1
2.835227272727273,1
4.509615384615385,1
59.625,12
68.42857142857143,20
2.353932584269663,1
10.78048780487805,1
3.696969696969697,1
1.5545171339563864,2
25.05263157894737,1
1.1061946902654867,1
7.390243902439025,1
5.041666666666667,2
4.366071428571429,2
3.140625,1
2.235294117647059,5
4.141666666666667,2
1.8036363636363637,1
1.2170731707317073,1
1.553125,1
1.9416342412451362,1
1.9149797570850202,1
3.2714285714285714,2
16.3,15
1.8901960784313725,1
1.4054878048780488,1
4.62037037037037,2
6.7164179104477615,1
3.861788617886179,1
2.016194331983806,1
1.3396226415094339,1
2.792134831460674,1
2.4532019704433496,1
1.6233766233766234,3
3.15702479338843,1
20.2,37
15.36,3
1.5105740181268883,2
15.1875,5
1.4204545454545454,2
5.337209302325581,1
1.5197568389057752,1
1.287958115183246,1
13.26086956521739,1
5.081632653061225,1
1.7482517482517483,2
4.679245283018868,1
1.434782608695652,2
13.135135135135135,2
3.006060606060606,1
3.3783783783783785,3
19.61111111111111,7
27.545454545454547,3
2.0450819672131146,1
5.271739130434782,1
5.555555555555555,45
1.4749262536873156,1
2.361111111111111,1
1.7184466019417475,1
3.3046357615894038,2
5.030612244897959,1
3.361344537815126,1
1.9455252918287937,1
29.625,14
1.5015015015015014,1
1.2406947890818858,2
303.0,76
1.1494252873563218,1
52.666666666666664,86
1.0919811320754718,1
2.242152466367713,1
2.464516129032258,1
3.03680981595092,1
1.6523178807947019,1
5.042105263157895,1
13.382352941176471,1
2.512562814070352,2
2.020242914979757,1
46.5,260
1.696113074204947,1
1.8050541516245486,3
32.38461538461539,4
3.016260162601626,1
1.408450704225352,1
43.714285714285715,7
26.733333333333334,5
